Year,STATE_NAME,COUNTY_NAME,STATE_ID,COUNTY_ID,Per_Capita_Exp_ESRD,Avg_Risk_Score_ESRD,Person_Years_ESRD,Per_Capita_Exp_DIS,Avg_Risk_Score_DIS,Person_Years_DIS,Per_Capita_Exp_AGDU,Avg_Risk_Score_AGDU,Person_Years_AGDU,Per_Capita_Exp_AGND,Avg_Risk_Score_AGND,Person_Years_AGND
2022,Alabama,Jackson,01,350,67953.12,0.93669,24.67,10833.58,0.9886,728.42,16056.82,0.88295,385.67,9857.92,1.0125,4419.92
2022,Alabama,Jefferson,01,360,76408.05,0.96659,404.58,11258.98,0.99211,3948.92,19914.98,1.00691,1394.83,11204.93,1.06395,25329.42
2022,Alabama,Lamar,01,370,72567.2,0.96313,11.33,8724.15,0.84628,319.58,14792.2,0.92978,169.67,10512.29,1.04645,1373
2022,Alabama,Lauderdale,01,380,63172.46,0.99747,54.83,10369.3,0.92084,956.17,15131.64,0.91803,517.58,9507.15,0.98872,7536.92
2022,Alabama,Lawrence,01,390,64216.73,1.01728,18.5,10024.37,0.95888,447,15144.43,0.9348,224.33,10341.49,1.06974,2274.58
2022,Alabama,Lee,01,400,67191.29,0.99001,80.83,9111.23,0.9226,1382.17,16800.26,0.92496,447.92,9882.88,1.01185,7286.92
2022,Alabama,Limestone,01,410,78420.98,0.91214,51.33,9960.23,0.94439,838.42,16048.69,0.89453,326.08,11009.33,1.00259,6711.33
2022,Alabama,Lowndes,01,420,62369.85,0.85495,13,9966.28,0.7727,79.83,12235.41,0.86768,55.92,10893.19,0.95976,361.08
2022,Alabama,Macon,01,430,77394.07,1.00244,24.83,11259.59,0.88754,169.5,14072.65,0.88501,87.42,8572.29,1.02187,785.75
2022,Alabama,Madison,01,440,80839.53,0.97573,230,10994.48,0.9315,2460.92,19155.66,0.90951,930.75,10620.01,0.99465,26935.67
2022,Alabama,Marengo,01,450,58454.98,0.94787,26.58,7776.21,0.82034,399.58,14859.89,1.00155,215.17,10094.38,1.03148,1232.42
2022,Alabama,Marion,01,460,72105.46,0.89705,15.25,10097.32,0.91303,563.75,15519.29,0.88566,385,9866.54,1.04033,2424.42
2022,Alabama,Marshall,01,470,75814.49,0.93104,60.08,10151.13,0.91378,1070.33,16791.19,0.86749,635.42,10611.56,1.02387,6442.33
2022,Alabama,Mobile,01,480,77452.12,0.94603,260.83,10435.66,0.94256,2915.92,19069.52,0.97626,1039.83,11254.9,1.085,15072.92
2022,Alabama,Monroe,01,490,54341.62,0.8007,20,9895.4,0.78644,256.08,17234.05,0.92952,163.75,9617.36,0.93679,1074.67
2022,Alabama,Montgomery,01,500,69781.32,0.93417,165.67,9304.36,0.90409,1541.08,16707.27,0.97692,536.33,9522.25,0.99217,9506.83
2022,Alabama,Morgan,01,510,61892.67,0.92306,70.42,10169.19,0.94412,1221.92,18370.97,0.94252,626.83,10705.21,1.0393,8715.33
2022,Alabama,Perry,01,520,75621.92,0.98357,15.33,7865.04,0.80731,160.33,15339.87,0.88595,147.5,9258.18,1.08549,342.67
2022,Alabama,Pickens,01,530,70045.78,0.94059,17.67,8055.72,0.91884,421.33,16046.67,0.97756,219.67,10912.5,1.09662,1289.92
2022,Alabama,Pike,01,540,58697.82,0.85207,24.83,7079.69,0.72654,264.58,15999.51,0.99872,161.17,10790.12,1.03857,1245.08
2022,Alabama,Randolph,01,550,97196.51,1.01071,16.33,10591.57,0.89068,368.25,16809.63,0.86772,198.33,9436.85,0.95542,1736.58
2022,Alabama,Russell,01,560,68382.69,0.92423,61.75,7843.53,0.82904,656.5,14517.11,0.95516,262.75,9299.33,1.09288,2996.08
2022,Alabama,"St. Clair",01,570,67606.89,0.95067,44.08,12762.02,1.08292,606.58,21716.75,1.12641,151.25,11099.63,1.24404,4062.33
2022,Alabama,Shelby,01,580,76038.37,0.95312,62.67,11172.45,0.98691,926.83,20384.3,0.99367,250.42,11792.36,1.04995,11043.92
2022,Alabama,Sumter,01,590,77082.58,1.00029,16.17,12843.15,0.87276,234.67,14174.38,0.83256,178.5,8790.56,0.95745,562.92
2022,Alabama,Talladega,01,600,73291.58,1.00065,57.25,10000.31,0.97849,912.08,21625.94,1.01766,321.92,11148.4,1.11596,4176.08
2022,Alabama,Tallapoosa,01,610,71225.56,0.93601,32.25,9734.27,0.85798,499.33,16446.49,0.97271,210.33,11168.91,1.06909,2938.33
2022,Alabama,Tuscaloosa,01,620,84972.58,0.96144,131.58,9290.5,0.8767,2173.42,16859.95,0.9742,857.08,10427.14,1.04867,8914.25
2022,Alabama,Walker,01,630,59515.61,0.96874,26.67,9046.05,0.85673,831.25,18692.72,1.01493,306.33,11136.57,1.11493,3643.33
2022,Alabama,Washington,01,640,117760.3,1.0357,18,10663.75,0.89011,285.5,13680.13,0.80938,155,10987.04,1.03661,1113.83
2022,Alabama,Wilcox,01,650,78121.54,0.96292,18.83,6568.64,0.7273,225.83,12519.06,0.7573,144,9340.48,1.02853,523.33
2022,Alabama,Winston,01,660,72554.11,0.93729,13.25,10380.41,0.86698,340.83,20960.93,0.93592,228.33,10858.76,1.02512,1687.33
2022,Alaska,"Aleutians East",02,013,.,.,.,*,*,*,*,*,*,17164.34,1.06134,52.58
2022,Alaska,"Aleutians West",02,016,.,.,.,*,*,*,12126.3,1.02637,24.67,6480.45,0.79971,47.67
2022,Alaska,Anchorage,02,020,96275.55,0.96634,201.67,15316.67,1.04746,2634.92,15238.21,0.88868,3249.42,10368.43,0.83376,18005.67
2022,Alaska,Bethel,02,050,*,*,*,13427.43,1.00491,51,18012.18,0.66506,228.17,15228.88,0.87878,236.42
2022,Alaska,"Bristol Bay",02,060,*,*,*,*,*,*,9655.95,0.67645,9.58,9537.23,0.82197,80.5
2022,Alaska,Denali,02,068,.,.,.,2485.27,0.57526,11.17,*,*,*,8318.67,0.63343,161.92
2022,Alaska,Dillingham,02,070,.,.,.,30308.88,0.87678,33.83,26197.71,0.72351,86.75,21015.45,0.79116,149.58
2022,Alaska,"Fairbanks North Star",02,090,99372.76,0.94007,40.67,11340.53,0.87616,818,14354.88,0.81157,695,9038.2,0.76522,6410.17
2022,Alaska,Haines,02,100,.,.,.,21365.85,0.65886,30.17,24125.98,0.7001,59.58,12859.76,0.81734,323.5
2022,Alaska,Juneau,02,110,103292.28,0.86775,17,16639.78,0.9878,309.92,21449.38,0.86316,316.83,9679.44,0.73025,2942
2022,Alaska,"Kenai Peninsula",02,122,112773.88,1.02498,26.08,14978.85,0.96731,688.67,19037.34,0.93895,789.42,12368.52,0.82443,6369.08
2022,Alaska,"Ketchikan Gateway",02,130,*,*,*,16835.81,0.95822,162.75,25029.83,0.94873,188,12253.15,0.84508,1198.58
2022,Alaska,"Kodiak Island",02,150,131206.41,0.98997,9.75,16331.1,0.9318,104.58,15429.6,0.74089,186.75,10475.67,0.76354,929.17
2022,Alaska,"Lake and Peninsula",02,164,.,.,.,*,*,*,24354.86,0.6445,30.08,15225.46,0.86394,47.92
2022,Alaska,Matanuska-Susitna,02,170,109587.5,0.90129,39.92,12867.31,0.97305,1182.08,17928.82,0.95424,1026.67,11414.03,0.8552,7570.42
2022,Alaska,Nome,02,180,*,*,*,24244.86,0.92855,61.83,28612.75,0.79236,158,16913.44,0.87258,210.17
2022,Alaska,"North Slope",02,185,*,*,*,37955.77,1.05923,30.33,45072.6,0.87038,60.33,28754.86,0.98875,197.67
2022,Alaska,"Northwest Arctic",02,188,*,*,*,22899.68,0.93746,30.33,27151.89,0.82448,79.33,20939.88,0.96844,108.42
2022,Alaska,Sitka,02,220,*,*,*,25119.05,0.93589,88.67,22589.19,0.83803,126.67,15622.96,0.821,959.75
2022,Alaska,"Southeast Fairbanks",02,240,*,*,*,7322.6,0.70851,65.08,9931.63,0.75838,110.67,8308.3,0.74681,568.83
2022,Alaska,Yakutat,02,282,.,.,.,*,*,*,*,*,*,6680.84,1.1498,30.33
2022,Alaska,Yukon-Koyukuk,02,290,*,*,*,12400.43,0.99141,44,17338.05,0.7671,140.83,11564.28,0.85315,257.58
2022,Arizona,Apache,03,000,89415.05,0.90921,117,13111.9,0.94086,640.83,15591.68,0.78148,1280.5,11463.9,0.87144,3405.08
2022,Arizona,Cochise,03,010,85652.58,0.97736,55,10195.77,0.85638,725.25,11609.15,0.7716,511.25,10316.29,0.92306,11844.08
2022,Arizona,Coconino,03,020,97351.57,0.9727,85.83,15160.37,0.95346,607.17,14703.92,0.76171,846.25,10515.91,0.81809,8057.33
2022,Arizona,Gila,03,030,77979.83,0.86922,65.75,12124.82,0.94358,405,17297.07,0.8038,399.58,10463.13,0.88398,7255.92
2022,Arizona,Graham,03,040,62502.19,0.87811,22.67,8668.17,0.8201,155.83,12220.33,0.73598,87.92,8699.82,0.85267,1566.83
2022,Arizona,Greenlee,03,050,*,*,*,3896.98,0.72445,42.58,5643.35,0.6092,12.5,9481.77,0.90694,430.75
2022,Arizona,"La Paz",03,055,90344.76,1.02313,23,12381.19,1.00205,176.67,18293.23,0.78044,148.92,11518.95,0.99057,1986.25
2022,Arizona,Maricopa,03,060,83536.32,0.99821,1458.08,12723.1,1.03863,11119.58,16880.08,0.93011,6252.67,11583.13,1.0149,243541
2022,Arizona,Mohave,03,070,92785.7,1.05707,127.67,10970.69,0.98324,1419.08,16192.82,0.89066,909.33,10968.4,1.02866,23150.25
2022,Arizona,Navajo,03,080,84481.66,0.94555,169.58,12510.7,0.92276,1004.42,14660.78,0.7705,1452.58,10752.77,0.87541,8457.5
2022,Arizona,Pima,03,090,74161.6,0.96849,382.33,12281.43,1.00862,3200.58,15568.2,0.89944,1770.5,10216.69,0.98214,65919
2022,Arizona,Pinal,03,100,87922.37,1.01345,302.08,13456.3,1.04492,1879,18950.75,1.0158,860.75,11032.94,0.99118,29237.83
2022,Arizona,"Santa Cruz",03,110,71023.7,0.98483,18.33,7618.43,0.86574,78,9923.74,0.67926,126,8529.78,0.84143,1968.92
